# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 1257111b6672af38
# CUDA_DEVICE 0 GeForce GTX 480
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,branch,sm_cta_launched,l1_shared_bank_conflict,divergent_branch
12586de2e3d51680,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1419.52,4.306,0.667,29,1,1,32,16,1,21200,0,32,1,-1,,0,29232,2,0,320
12586de2e3eb26a0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1416.54,4.171,0.667,30,1,1,32,16,1,21200,0,32,1,-1,,0,29232,2,0,320
12586de2e4012ec0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,2748.8,4.201,0.667,31,1,1,32,16,1,21200,0,32,1,-1,,0,29232,2,0,480
12586de2e42b88e0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,2751.36,4.396,0.667,32,1,1,32,16,1,21200,0,32,1,-1,,0,43848,3,0,320
12586de2e455eac0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,2751.55,4.102,0.667,33,1,1,32,16,1,21200,0,32,1,-1,,0,29232,2,0,320
12586de2e4805020,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,2811.68,4.108,0.667,34,1,1,32,16,1,21200,0,32,1,-1,,0,29232,2,0,320
12586de2e4aba100,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,2793.31,4.144,0.667,35,1,1,32,16,1,21200,0,32,1,-1,,0,29232,2,0,480
12586de2e4d726a0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,2753.41,4.369,0.667,36,1,1,32,16,1,21200,0,32,1,-1,,0,29232,2,0,480
12586de2e5019580,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,2811.87,4.171,0.667,37,1,1,32,16,1,21200,0,32,1,-1,,0,58464,4,0,480
12586de2e52ce4e0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,2817.86,4.062,0.667,38,1,1,32,16,1,21200,0,32,1,-1,,0,29232,2,0,320
12586de2e5585ca0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,2827.62,4.327,0.667,39,1,1,32,16,1,21200,0,32,1,-1,,0,43848,3,0,480
12586de2e583f040,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,2752.99,4.697,0.667,40,1,1,32,16,1,21200,0,32,1,-1,,0,29232,2,0,640
12586de2e5ae58a0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,2794.98,4.129,0.667,41,1,1,32,16,1,21200,0,32,1,-1,,0,43848,3,0,320
12586de2e5d965e0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,2805.73,4.075,0.667,42,1,1,32,16,1,21200,0,32,1,-1,,0,58464,4,0,480
12586de2e6049ee0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,2822.75,4.056,0.667,43,1,1,32,16,1,21200,0,32,1,-1,,0,58464,4,0,640
12586de2e6301860,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,2818.24,4.05,0.667,44,1,1,32,16,1,21200,0,32,1,-1,,0,43848,3,0,480
12586de2e65b7f80,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,2812.06,3.987,0.667,45,1,1,32,16,1,21200,0,32,1,-1,,0,43848,3,0,320
12586de2e686d080,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,2822.3,4.053,0.667,46,1,1,32,16,1,21200,0,32,1,-1,,0,43848,3,0,320
12586de2e6b24a80,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,2819.81,4.186,0.667,47,1,1,32,16,1,21200,0,32,1,-1,,0,43848,3,0,640
12586de2e6ddb8e0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,2824.61,4.354,0.667,48,1,1,32,16,1,21200,0,32,1,-1,,0,43848,3,0,320
12586de2e70938e0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,2829.86,4.078,0.667,49,1,1,32,16,1,21200,0,32,1,-1,,0,58464,4,0,480
12586de2e734dae0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,2822.37,4.568,0.667,50,1,1,32,16,1,21200,0,32,1,-1,,0,58464,4,0,640
12586de2e7605940,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,2823.04,4.345,0.667,51,1,1,32,16,1,21200,0,32,1,-1,,0,29232,2,0,480
12586de2e78bd500,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,2828.61,4.056,0.667,52,1,1,32,16,1,21200,0,32,1,-1,,0,58464,4,0,640
12586de2e7b9f0c0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,2826.59,4.105,0.667,53,1,1,32,16,1,21200,0,32,1,-1,,0,58464,4,0,640
12586de2e7e67660,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,2828.13,4.216,0.667,54,1,1,32,16,1,21200,0,32,1,-1,,0,58464,4,0,640
12586de2e8120e20,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,2830.59,4.237,0.667,55,1,1,32,16,1,21200,0,32,1,-1,,0,58464,4,0,640
12586de2e83da7a0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,2822.69,4.399,0.667,56,1,1,32,16,1,21200,0,32,1,-1,,0,58464,4,0,640
12586de2e8692740,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,2834.34,4.363,0.667,57,1,1,32,16,1,21200,0,32,1,-1,,0,43848,3,0,640
12586de2e894cf80,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,2838.69,4.09,0.667,58,1,1,32,16,1,21200,0,32,1,-1,,0,58464,4,0,640
12586de2e8c086c0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,2836.96,4.017,0.667,59,1,1,32,16,1,21200,0,32,1,-1,,0,58464,4,0,640
12586de2e8ecc1a0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,2829.12,4.342,0.667,60,1,1,32,16,1,21200,0,32,1,-1,,0,58464,4,0,640
